_id,Centre Code,Centre Name,Centre Type,Centre Status,Host Centre Code,Host Centre Name,Official Low Year Level,Official High Year Level,Officer In Charge Title,School Band,Show Holiday Date,Internet Site,Phone Number,Restrict Contact Outside Teaching Hours,Fax Number,Actual Address Line 1,Actual Address Line 2,Actual Address Line 3,Actual Address Post Code,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Post Code,Education Geographic Region,Federal Electorate,State Electorate,Local Government Area,Statistical Area Level2,Statistical Area Level2 Code,Remoteness Area,Enrolment Effective Date,All Student Count,Campus All Student Count,ABN,Sector,Non-State Sector,Longitude,Latitude
233,1873,Burnside State School,State School,Open,,,Early Childhood,Year 6,Principal,9,2020-06-12T00:00:00,www.burnsidess.eq.edu.au,(07) 5441 0888,N,(07) 5441 0800,,51 Blaxland Road,Burnside,4560,PO Box 5063,SCMC,Nambour,4560,North Coast,Fairfax,Nicklin,Sunshine Coast (R),Nambour,316071548,Major Cities of Australia,2019 July,479,,76650885705,State,,152.947573,-26.630419
234,5553,Burpengary Meadows State School,State School,Open,,,Prep Year,Year 6,Principal,9,2020-08-10T00:00:00,www.burpengarymeadowsss.eq.edu.au,(07) 3491 4333,N,(07) 3491 4300,,153 Rowley Road,Burpengary,4505,153 Rowley Road,Burpengary,,4505,North Coast,Longman,Morayfield,Moreton Bay (R),Burpengary,313041372,Major Cities of Australia,2019 July,648,,90229980516,State,,152.938212,-27.159893
235,601,Burpengary State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-08-10T00:00:00,www.burpengaryss.eq.edu.au,(07) 3491 0333,N,,,35 Station Road,Burpengary,4505,PO Box 270,Burpengary,,4505,North Coast,Longman,Kurwongbah,Moreton Bay (R),Burpengary,313041372,Major Cities of Australia,2019 July,957,,20789166753,State,,152.959036,-27.157727
236,9676,Burpengary State Secondary College,State High School,Open,,,Year 7,Year 12,Principal,11,2020-08-10T00:00:00,www.burpengaryssc.eq.edu.au,(07) 3481 6333,N,,,196 Pitt Road,Burpengary,4505,PO Box 693,Burpengary,,4505,North Coast,Longman,Kurwongbah,Moreton Bay (R),Burpengary,313041372,Major Cities of Australia,2019 July,1035,,20278920229,State,,152.977393,-27.170609
237,1129,Burra Burri State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-05-22T00:00:00,www.burraburriss.eq.edu.au,(07) 4668 8718,N,(07) 4668 8766,,3173 Burra Burri Creek Road,Burra Burri,4413,MS 708,Jandowae,,4410,Darling Downs South West,Maranoa,Callide,Western Downs (R),Chinchilla,307011172,Outer Regional Australia,2019 July,5,,78889782654,State,,151.02373,-26.50936
238,1966,Burrowes State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-08-10T00:00:00,www.burrowesss.eq.edu.au,(07) 3802 3333,N,(07) 3803 4898,,Third Avenue,Marsden,4132,Third Avenue,Marsden,,4132,South East,Rankin,Woodridge,Logan (C),Marsden,311031317,Major Cities of Australia,2019 July,775,,54826122713,State,,153.089804,-27.676279
239,1427,Butchers Creek State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-07-17T00:00:00,www.butcherscreekss.eq.edu.au,(07) 4096 8135,N,(07) 4096 8327,,Cnr Topaz & Gadaloff Roads,Butchers Creek,4885,MS 1575,Malanda,,4885,Far North Queensland,Kennedy,Hill,Tablelands (R),Malanda - Yungaburra,306051169,Outer Regional Australia,2019 July,16,,92960959409,State,,145.692288,-17.361216
240,379,Bwgcolman Community School,Community School,Open,,,Early Childhood,Year 12,Principal,10,2020-07-06T00:00:00,www.bwgcolmancs.eq.edu.au,(07) 4770 0333,N,(07) 4770 0300,,Creek Road,Palm Island,4816,c/- Post Office,Palm Island,,4816,North Queensland,Herbert,Townsville,Palm Island (S),Palm Island,318011466,Remote Australia,2019 July,294,,64365469498,State,,146.578199,-18.736204
241,1318,Byfield State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-06-12T00:00:00,www.byfieldss.eq.edu.au,(07) 4935 1140,N,(07) 4935 1260,,2233 Byfield Road,Byfield,4703,2233 Byfield Road,Byfield,,4703,Central Queensland,Capricornia,Keppel,Livingstone (S),Rockhampton Region - North,308031219,Outer Regional Australia,2019 July,28,,73706319645,State,,150.64619,-22.841252
242,1047,Bymount East State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-05-08T00:00:00,www.bymounteastss.eq.edu.au,(07) 4623 3767,Y,(07) 4623 3716,,6441 Carnarvon Highway,Bymount,4455,MS 960,Roma,,4455,Darling Downs South West,Maranoa,Warrego,Maranoa (R),Roma Region,307011177,Remote Australia,2019 July,6,,40346363408,State,,148.60269,-26.063808
243,1903,Caboolture East State School,State School,Open,,,Early Childhood,Year 6,Principal,9,2020-08-10T00:00:00,cabooltureeastss.eq.edu.au,(07) 5431 6111,N,(07) 5431 6100,,44 Manley Street,Caboolture,4510,PO Box 1492,Caboolture,,4510,North Coast,Longman,Morayfield,Moreton Bay (R),Caboolture,313021365,Major Cities of Australia,2019 July,709,,93293117600,State,,152.960977,-27.077547
244,1693,Caboolture Montessori School (Caboolture),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.cms.qld.edu.au,(07) 5495 5877,,(07) 5499 3927,,200 Old Gympie Road,Caboolture,4510,PO Box 1610,Caboolture,,4510,North Coast,Longman,Pumicestone,Moreton Bay (R),Caboolture,313021365,Major Cities of Australia,,,,,Non-State,Independent,152.939291,-27.055475
245,3045,Caboolture Special School,Special School,Open,,,Prep Year,Year 12,Principal,11,2020-08-10T00:00:00,www.caboolturespecs.eq.edu.au,(07) 5431 4444,N,(07) 5431 4400,,Torrens Road,Caboolture South,4510,PO Box 108,Morayfield,,4506,North Coast,Longman,Morayfield,Moreton Bay (R),Caboolture - South,313021366,Major Cities of Australia,2019 July,249,,75586516577,State,,152.943823,-27.096752
246,2066,Caboolture State High School,State High School,Open,,,Year 7,Year 12,Principal,11,2020-08-10T00:00:00,www.cabooltureshs.eq.edu.au,(07) 5498 0111,N,(07) 5498 0100,,Lee Street,Caboolture,4510,Lee Street,Caboolture,,4510,North Coast,Longman,Morayfield,Moreton Bay (R),Caboolture,313021365,Major Cities of Australia,2019 July,1320,,22792530028,State,,152.961074,-27.084139
247,369,Caboolture State School,State School,Open,,,Prep Year,Year 6,Principal,9,2020-08-10T00:00:00,www.caboolturess.eq.edu.au,(07) 5431 4555,N,(07) 5431 4500,,12 George Street,Caboolture,4510,12 George Street,Caboolture,,4510,North Coast,Longman,Morayfield,Moreton Bay (R),Caboolture,313021365,Major Cities of Australia,2019 July,457,,39257802739,State,,152.948729,-27.082517
248,5486,Cairns Adventist College (Gordonvale),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.cas.qld.edu.au,(07) 4056 6144,,(07) 4051 2585,,42 Crossland Road,Gordonvale,4865,PO Box 131,Gordonvale,,4865,Far North Queensland,Kennedy,Mulgrave,Cairns (R),Gordonvale - Trinity,306021148,Outer Regional Australia,,,,,Non-State,Independent,145.792313,-17.076055
249,2419,Cairns Hinterland Steiner School (Kuranda),Non-State School,Open,,,Prep Year,Year 11,Director,,,www.chss.qld.edu.au,(07) 4093 8809,,,,46 Boyles Road,Kuranda,4881,PO Box 283,Kuranda,,4881,Far North Queensland,Leichhardt,Barron River,Mareeba (S),Kuranda,306051168,Outer Regional Australia,,,,,Non-State,Independent,145.588513,-16.812431
250,3601,Cairns School of Distance Education,School of Distance Education,Open,,,Prep Year,Year 12,Principal,11,2020-07-17T00:00:00,www.cairnssde.eq.edu.au,(07) 4080 9111,N,(07) 4080 9100,,62 Hoare Street,Manunda,4870,PO Box 7092,Cairns,,4870,Far North Queensland,Leichhardt,Cairns,Cairns (R),Manunda,306021152,Outer Regional Australia,2019 July,2291,,13053511464,State,,145.750777,-16.92359
251,2005,Cairns State High School,State High School,Open,,,Year 7,Year 12,Executive Principal,11,2020-07-17T00:00:00,www.cairnsshs.eq.edu.au,(07) 4050 3033,N,,,Cnr Sheridan & Upward Streets,Cairns North,4870,PO Box 5643 MSO,Cairns,,4870,Far North Queensland,Leichhardt,Cairns,Cairns (R),Cairns City,306021145,Outer Regional Australia,2019 July,1646,,71986954203,State,,145.768025,-16.916645
252,A029,Cairns State Special School,Special School,Open,,,Prep Year,Year 12,Principal,9,2020-07-17T00:00:00,www.cairnsstatespecs.eq.edu.au,(07) 4036 7444,N,,,Windarra Street,Woree,4868,Windarra Street,Woree,,4868,Far North Queensland,Leichhardt,Mulgrave,Cairns (R),Woree,306021157,Outer Regional Australia,2019 July,67,,34743797236,State,,145.7402,-16.9631
253,1522,Cairns West State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-07-17T00:00:00,www.cairnswestss.eq.edu.au,(07) 4037 9777,N,(07) 4032 1397,,Mayers Street,Manunda,4870,PO Box 97M,Manunda,,4870,Far North Queensland,Leichhardt,Cairns,Cairns (R),Manunda,306021152,Outer Regional Australia,2019 July,685,,64957433980,State,,145.74228,-16.92369
254,1699,Calamvale Community College,State School,Open,,,Prep Year,Year 12,Executive Principal,11,2020-08-12T00:00:00,www.calamvalecc.eq.edu.au,(07) 3712 6333,N,(07) 3712 6300,,11 Hamish Street,Calamvale,4116,PO Box 1653,Sunnybank Hills,,4109,Metropolitan,Rankin,Algester,Brisbane (C),Calamvale - Stretton,303051073,Major Cities of Australia,2019 July,2229,,46523782930,State,,153.042899,-27.625696
255,3055,Calamvale Special School,Special School,Open,,,Prep Year,Year 12,Principal,11,2020-08-12T00:00:00,www.calamvalespecialschool.eq.edu.au,(07) 3712 5555,N,(07) 3712 5500,,29 Nottingham Road,Calamvale,4116,29 Nottingham Road,Calamvale,,4116,Metropolitan,Rankin,Algester,Brisbane (C),Calamvale - Stretton,303051073,Major Cities of Australia,2019 July,154,,65242303155,State,,153.044867,-27.630062
256,1550,Calen District State College,State School,Open,,,Prep Year,Year 12,Principal,8,2020-06-18T00:00:00,www.calendsc.eq.edu.au,(07) 4949 7333,N,(07) 4949 7300,,38 McIntyre Street,Calen,4798,c/- Post Office,Calen,,4798,Central Queensland,Dawson,Whitsunday,Mackay (R),Seaforth - Calen,312021353,Outer Regional Australia,2019 July,191,,75371345213,State,,148.770455,-20.899303
257,9790,Calliope State High School,State High School,Open,,,Year 7,Year 8,Principal,9,2020-08-10T00:00:00,www.calliopeshs.eq.edu.au,(07) 4975 9777,N,,,55 Don Cameron Drive,Calliope,4680,Po Box 412,Calliope,,4680,Central Queensland,Flynn,Callide,Gladstone (R),Gladstone Hinterland,308051535,Inner Regional Australia,,,,62404931680,State,,151.214958,-23.999774
258,20,Calliope State School,State School,Open,,,Prep Year,Year 6,Principal,9,2020-08-10T00:00:00,www.calliopess.eq.edu.au,(07) 4975 8333,N,(07) 4975 6437,,Stirrat Street,Calliope,4680,PO Box 232,Calliope,,4680,Central Queensland,Flynn,Callide,Gladstone (R),Gladstone Hinterland,308051535,Inner Regional Australia,2019 July,670,,57395070798,State,,151.202922,-24.004837
259,5585,Caloundra Christian College (Caloundra),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.calcc.qld.edu.au,(07) 5436 6777,N,(07) 5491 5103,,7 Gregson Place,Caloundra,4551,7 Gregson Place,Caloundra,,4551,North Coast,Fisher,Caloundra,Sunshine Coast (R),Caloundra - Kings Beach,316021419,Major Cities of Australia,,,,,Non-State,Independent,153.118457,-26.799765
260,5301,Caloundra City Private School (Pelican Waters),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.ccps.qld.edu.au,(07) 5437 5800,,(07) 5492 3038,,200 Pelican Waters Boulevard,Pelican Waters,4551,PO Box 542,Golden Beach,,4551,North Coast,Fisher,Caloundra,Sunshine Coast (R),Golden Beach - Pelican Waters,316021421,Major Cities of Australia,,,,,Non-State,Independent,153.103956,-26.824051
261,2116,Caloundra State High School,State High School,Open,,,Year 7,Year 12,Principal,11,2020-05-29T00:00:00,www.caloundrashs.eq.edu.au,(07) 5436 8444,N,(07) 5491 8457,,88 Queen Street,Caloundra,4551,88 Queen Street,Caloundra,,4551,North Coast,Fisher,Caloundra,Sunshine Coast (R),Caloundra - Kings Beach,316021419,Major Cities of Australia,2019 July,1331,,52664744190,State,,153.125545,-26.793826
262,859,Caloundra State School,State School,Open,,,Prep Year,Year 6,Principal,9,2020-05-29T00:00:00,www.caloundrass.eq.edu.au,(07) 5439 4200,N,(07) 5439 4222,,56A Queen Street,Caloundra,4551,56A Queen Street,Caloundra,,4551,North Coast,Fisher,Caloundra,Sunshine Coast (R),Caloundra - Kings Beach,316021419,Major Cities of Australia,2019 July,552,,90466247553,State,,153.13501,-26.797111
263,5884,Calvary Christian College (Mount Louisa),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.calvary.qld.edu.au,(07) 4722 9201,,(07) 4722 9208,,569 Bayswater Road,Mount Louisa,4814,PO Box 1544,Aitkenvale,,4814,North Queensland,Herbert,Townsville,Townsville (C),Mount Louisa,318021484,Outer Regional Australia,,,,,Non-State,Independent,146.738237,-19.270303
264,5540,Calvary Christian College (Springwood),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.calvarycc.qld.edu.au,(07) 3808 8368,N,(07) 3808 9907,,161 Dennis Road,Springwood,4127,PO Box 4157,Loganholme,,4129,South East,Rankin,Springwood,Logan (C),Springwood,311061334,Major Cities of Australia,,,,,Non-State,Independent,153.142904,-27.615546
265,196,Cambooya State School,State School,Open,,,Prep Year,Year 6,Principal,6,2020-03-26T00:00:00,www.cambooyass.eq.edu.au,(07) 4612 2333,N,,,Harrow Street,Cambooya,4358,Harrow Street,Cambooya,,4358,Darling Downs South West,Groom,Condamine,Toowoomba (R),Cambooya - Wyreema,317011445,Inner Regional Australia,2019 July,174,,54971454619,State,,151.866872,-27.708783
266,483,Cameron Downs State School,State School,Open,,,Early Childhood,Year 6,Principal,5,2020-05-29T00:00:00,www.camerondownsss.eq.edu.au,(07) 4741 7250,N,(07) 4741 7239,Cameron Downs Station,Hughenden-Muttaburra Road,Tangorin,4821,PMB Cameron Downs Station,Hughenden,,4821,North Queensland,Kennedy,Traeger,Flinders (S),Northern Highlands,315021407,Very Remote Australia,2019 July,13,,23291476501,State,,144.278845,-21.374579
267,352,Camira State School,State School,Open,,,Prep Year,Year 6,Principal,9,2020-05-15T00:00:00,www.camirass.eq.edu.au,(07) 3381 4888,N,(07) 3381 4800,,184-202 Old Logan Road,Camira,4300,PO Box 2185,Gailes,,4300,Metropolitan,Oxley,Jordan,Ipswich (C),Camira - Gailes,310041297,Major Cities of Australia,2019 July,660,,99870757641,State,,152.914644,-27.621316
268,714,Camooweal State School,State School,Open,,,Early Childhood,Year 6,Principal,6,2020-06-19T00:00:00,www.camoowealss.eq.edu.au,(07) 4748 2127,N,(07) 4748 2144,,Nowranie Street,Camooweal,4828,PO Box 9,Camooweal,,4828,North Queensland,Kennedy,Traeger,Mount Isa (C),Mount Isa Region,315021406,Very Remote Australia,2019 July,35,,82487075819,State,,138.120361,-19.918829
269,1854,Camp Hill State Infants and Primary School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-08-12T00:00:00,www.camphillipss.eq.edu.au,(07) 3900 9333,N,(07) 3900 9300,,676 Old Cleveland Road,Camp Hill,4152,676 Old Cleveland Road,Camp Hill,,4152,Metropolitan,Griffith,Chatsworth,Brisbane (C),Camp Hill,303011047,Major Cities of Australia,2019 July,821,,33502575403,State,,153.078576,-27.492941
270,1967,Caningeraba State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-08-28T00:00:00,www.caningerabass.eq.edu.au,(07) 5568 6333,N,(07) 5568 6300,,Whistler Drive,Burleigh Waters,4220,Whistler Drive,Burleigh Waters,,4220,South East,Mcpherson,Burleigh,Gold Coast (C),Burleigh Waters,309011226,Major Cities of Australia,2019 July,1104,,19351529936,State,,153.430206,-28.085348
271,5797,Cannon Hill Anglican College (Cannon Hill),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.chac.qld.edu.au,(07) 3896 0444,,(07) 3896 0448,,Cnr Junction and Krupp Roads,Cannon Hill,4170,PO Box 3366,Tingalpa DC,,4173,Metropolitan,Griffith,Bulimba,Brisbane (C),Cannon Hill,303011048,Major Cities of Australia,,,,,Non-State,Independent,153.084099,-27.460332
272,1476,Cannon Hill State School,State School,Open,,,Prep Year,Year 6,Principal,7,2020-08-12T00:00:00,www.cannonhillss.eq.edu.au,(07) 3902 3333,N,(07) 3902 3300,,845 Wynnum Road,Cannon Hill,4170,845 Wynnum Road,Cannon Hill,,4170,Metropolitan,Griffith,Bulimba,Brisbane (C),Cannon Hill,303011048,Major Cities of Australia,2019 July,276,,54028610736,State,,153.083826,-27.468177
273,589,Cannonvale State School,State School,Open,,,Prep Year,Year 6,Principal,9,2020-06-19T00:00:00,www.cannonvaless.eq.edu.au,(07) 4946 2333,N,(07) 4946 2300,,56 Coral Esplanade,Cannonvale,4802,PO Box 117,Cannonvale,,4802,North Queensland,Dawson,Whitsunday,Whitsunday (R),Airlie - Whitsundays,312031359,Outer Regional Australia,2019 July,809,,47813905327,State,,148.69967,-20.274758
274,5445,Canterbury College (Waterford),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.canterbury.qld.edu.au,(07) 3299 0888,,(07) 3805 2132,,Old Logan Village Road,Waterford,4133,PO Box 616,Beenleigh,,4207,South East,Forde,Waterford,Logan (C),Bethania - Waterford,311051323,Major Cities of Australia,,,,,Non-State,Independent,153.149369,-27.7099
275,566,Canungra State School,State School,Open,,,Prep Year,Year 6,Principal,8,2020-08-10T00:00:00,www.canungrass.eq.edu.au,(07) 5541 6111,N,(07) 5541 6100,,Christie Street,Canungra,4275,Christie Street,Canungra,,4275,South East,Wright,Scenic Rim,Scenic Rim (R),Tamborine - Canungra,309041242,Inner Regional Australia,2019 July,352,,78734036615,State,,153.162365,-28.016911
276,5534,Capalaba State College,State School,Open,,,Early Childhood,Year 12,Principal,10,2020-08-10T00:00:00,www.capalabasc.eq.edu.au,(07) 3823 9111,N,(07) 3823 9100,,School Road,Capalaba,4157,PO Box 27,Capalaba,,4157,South East,Bowman,Capalaba,Redland (C),Capalaba,301011004,Major Cities of Australia,2019 July,863,,80384494511,State,,153.189826,-27.53641
277,8009,Cape York Aboriginal Australian Academy,State School,Open,,,Prep Year,Year 6,Principal,9,2020-07-17T00:00:00,www.cyaaa.eq.edu.au,(07) 4060 9888,N,(07) 4060 9800,,Cnr Thiele & Poland Streets,Hope Vale,4895, c/- Hope Vale Post Office,Hope Vale via Cooktown,,4895,Far North Queensland,Leichhardt,Cook,Hope Vale (S),Cape York,315011396,Remote Australia,2019 July,151,,12042763910,State,,145.108091,-15.295258
278,2182,Capella State High School,State High School,Open,,,Year 7,Year 12,Principal,8,2020-05-22T00:00:00,www.capellashs.eq.edu.au,(07) 4988 7333,N,(07) 4988 7300,,35-45 Gordon Street,Capella,4723,PO Box 195,Capella,,4723,Central Queensland,Flynn,Gregory,Central Highlands (R),Central Highlands - West,308011191,Remote Australia,2019 July,101,,52538984330,State,,148.030481,-23.088158
279,410,Capella State School,State School,Open,,,Prep Year,Year 6,Principal,7,2020-05-22T00:00:00,www.capellass.eq.edu.au,(07) 4988 7111,N,(07) 4986 4634,,41 Huntley Street,Capella,4723,PO Box 94,Capella,,4723,Central Queensland,Flynn,Gregory,Central Highlands (R),Central Highlands - West,308011191,Remote Australia,2019 July,174,,12466713509,State,,148.024701,-23.082625
280,3612,Capricornia (Emerald Campus) School of Distance Education,School of Distance Education,Open,,,Prep Year,Year 12,Principal,10,2020-06-03T00:00:00,www.capricorniasde.eq.edu.au,(07) 4987 9100,N,(07) 4931 4899,,Cnr Gray & Gladstone Streets,Emerald,4720,PO Box 1616,Emerald,,4720,Central Queensland,Flynn,Gregory,Central Highlands (R),Emerald,308011192,Outer Regional Australia,2019 July,3041,,69227107373,State,,148.152073,-23.532392
281,927,Caravonica State School,State School,Open,,,Prep Year,Year 6,Principal,9,2020-07-17T00:00:00,www.caravonicass.eq.edu.au,(07) 4037 4333,N,(07) 4037 4300,,Lot 3 Kamerunga Road,Caravonica,4878,PO Box 198,Smithfield,,4878,Far North Queensland,Leichhardt,Barron River,Cairns (R),Redlynch,306011141,Outer Regional Australia,2019 July,541,,72533817802,State,,145.695369,-16.852966
282,A759,Carbrook Animal Assisted Learning Centre (Carbrook),Non-State School,Open,,,Year 7,Year 11,Principal,,,www.carbrookcentre.qld.edu.au,(07) 3557 2117,,,,597-605 Beenleigh Redland Bay Road,Carbrook,4130,PO Box 23,Narangba,,4504,South East,Forde,Macalister,Logan (C),Cornubia - Carbrook,311051324,Major Cities of Australia,,,,,Non-State,Independent,153.24233,-27.67855
283,278,Carbrook State School,State School,Open,,,Prep Year,Year 6,Principal,8,2020-08-10T00:00:00,www.carbrookss.eq.edu.au,(07) 3209 0888,N,(07) 3209 0800,,Redland Bay Road,Carbrook,4130,Redland Bay Road,Carbrook,,4130,South East,Forde,Macalister,Logan (C),Cornubia - Carbrook,311051324,Major Cities of Australia,2019 July,469,,63242141001,State,,153.235233,-27.678064
284,136,Cardwell State School,State School,Open,,,Prep Year,Year 6,Principal,6,2020-07-24T00:00:00,www.cardwellss.eq.edu.au,(07) 4063 6222,N,,,43 Victoria Street,Cardwell,4849,43 Victoria Street,Cardwell,,4849,Far North Queensland,Kennedy,Hinchinbrook,Cassowary Coast (R),Tully,306031161,Outer Regional Australia,2019 July,87,,58728201912,State,,146.03085,-18.268797
285,1552,Carina State School,State School,Open,,,Prep Year,Year 6,Principal,8,2020-08-12T00:00:00,www.carinass.eq.edu.au,(07) 3900 9666,N,(07) 3900 9600,,1413 Creek Road,Carindale,4152,1413 Creek Road,Carina,,4152,Metropolitan,Bonner,Chatsworth,Brisbane (C),Carindale,303011051,Major Cities of Australia,2019 July,363,,12445257133,State,,153.101859,-27.493301
286,2416,Carinity Education - Glendyne (Nikenbah),Non-State School,Open,,,Year 6,Year 12,Principal,,,www.glendyne.qld.edu.au,(07) 4128 6199,,(07) 4128 6194,,72 Nikenbah-Dundowran Road,Nikenbah,4655,72 Nikenbah-Dundowran Road,Nikenbah,,4655,North Coast,Hinkler,Maryborough,Fraser Coast (R),Booral - River Heads,319041516,Inner Regional Australia,,,,,Non-State,Independent,152.7972,-25.313559
287,9964,Carinity Education - Rockhampton (Glenlee),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.carinity.org.au,(07) 3550 3703,,,,46 Dawson Road,Glenlee,4711,PO Box 6164,Mitchelton,,4053,Central Queensland,Capricornia,Mirani,Livingstone (S),Glenlee - Rockyview,308031209,Inner Regional Australia,,,,,Non-State,Independent,150.493675,-23.252762
288,2225,Carinity Education - Southside (Sunnybank),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.southside.qld.edu.au,(07) 3423 7499,,(07) 3423 7599,,153 Lister Street,Sunnybank,4109,PO Box 234,Coopers Plains,,4108,Metropolitan,Moreton,Toohey,Brisbane (C),Sunnybank,303061079,Major Cities of Australia,,,,,Non-State,Independent,153.054784,-27.577888
289,5489,Carlisle Adventist Christian College (Beaconsfield),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.carlisle.adventist.edu.au,(07) 4942 7455,,(07) 4942 5095,,17 Holts Road,Beaconsfield,4740,PO Box 10419,Mount Pleasant,,4740,Central Queensland,Dawson,Mackay,Mackay (R),Andergrove - Beaconsfield,312021342,Inner Regional Australia,,,,,Non-State,Independent,149.164413,-21.100698
290,5596,Carmel College (Thornlands),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.carmelcollege.qld.edu.au,(07) 3488 7777,,(07) 3206 0474,,20 Ziegenfusz Road,Thornlands,4164,PO Box 1725,Cleveland,,4163,South East,Bowman,Redlands,Redland (C),Thornlands,301021012,Major Cities of Australia,,,,,Non-State,Catholic,153.267054,-27.565332
291,5558,Carmichael College (Morayfield),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.carmichael.qld.edu.au,(07) 5431 1200,,,,793-833 Oakey Flat Road,Morayfield,4506,793 Oakey Flat Road,Morayfield,,4506,North Coast,Longman,Morayfield,Moreton Bay (R),Morayfield,313041374,Major Cities of Australia,,,,,Non-State,Independent,152.918516,-27.172913
292,1806,Carmila State School,State School,Open,,,Early Childhood,Year 6,Principal,5,2020-06-18T00:00:00,www.carmilass.eq.edu.au,(07) 4950 2137,N,,,Carmila West Road,Carmila,4739,Carmila West Road,Carmila,,4739,Central Queensland,Capricornia,Mirani,Isaac (R),Broadsound - Nebo,312011338,Outer Regional Australia,2019 July,19,,74882731796,State,,149.403581,-21.913583
293,1044,Carole Park State School,State School,Open,,,Prep Year,Year 6,Principal,7,2020-08-12T00:00:00,www.caroleparkss.eq.edu.au,(07) 3718 5333,N,(07) 3718 5300,,260 Waterford Road,Wacol,4076,PO Box 186,Carole Park,,4300,Metropolitan,Oxley,Inala,Brisbane (C),Wacol,310011276,Major Cities of Australia,2019 July,199,,11085847929,State,,152.933619,-27.60804
294,2025,Cavendish Road State High School,State High School,Open,,,Year 7,Year 12,Executive Principal,11,2020-08-12T00:00:00,www.cavendishroadshs.eq.edu.au,(07) 3394 0777,N,(07) 3394 0700,,Cnr Cavendish & Holland Roads,Holland Park,4121,PO Box 156,Holland Park,,4121,Metropolitan,Griffith,Greenslopes,Brisbane (C),Holland Park,303021056,Major Cities of Australia,2019 July,1799,,79632711527,State,,153.072984,-27.516824
295,135,Cawarral State School,State School,Open,,,Prep Year,Year 6,Principal,6,2020-06-12T00:00:00,www.cawarralss.eq.edu.au,(07) 4920 9333,N,(07) 4935 4202,,125 Annie Drive,Cawarral,4702,125 Annie Drive,Cawarral,,4702,Central Queensland,Capricornia,Keppel,Livingstone (S),Rockhampton Region - East,308031218,Inner Regional Australia,2019 July,88,,64095086919,State,,150.675628,-23.253978
296,734,Cecil Plains State School,State School,Open,,,Prep Year,Year 9,Principal,7,2020-03-26T00:00:00,www.cecilplainsss.eq.edu.au,(07) 4660 9333,N,(07) 4660 9300,,Taylor Street,Cecil Plains,4407,PO Box 41,Cecil Plains,,4407,Darling Downs South West,Maranoa,Southern Downs,Toowoomba (R),Millmerran,307021181,Outer Regional Australia,2019 July,53,,73877484191,State,,151.192818,-27.532321
297,160,Cedar Creek State School,State School,Open,,,Prep Year,Year 6,Principal,7,2020-08-10T00:00:00,www.cedarcreekss.eq.edu.au,(07) 5549 7333,N,,,1a Chardon Bridge Road,Cedar Creek,4207,1a Chardon Bridge Road,Cedar Creek,,4207,South East,Forde,Coomera,Gold Coast (C),Upper Coomera - Willow Vale,309071258,Inner Regional Australia,2019 July,233,,61655809002,State,,153.179275,-27.827597
298,2121,Centenary Heights State High School,State High School,Open,,,Year 7,Year 12,Principal,11,2020-03-26T00:00:00,www.centheigshs.eq.edu.au,(07) 4636 7500,N,(07) 4636 7501,,60 Ramsay Street,Centenary Heights,4350,60 Ramsay Street,Centenary Heights,,4350,Darling Downs South West,Groom,Toowoomba South,Toowoomba (R),Toowoomba - Central,317011456,Inner Regional Australia,2019 July,1594,,84306266898,State,,151.963728,-27.57943
299,1668,Centenary State High School,State High School,Open,,,Year 7,Year 12,Principal,11,2020-08-12T00:00:00,www.centenaryshs.eq.edu.au,(07) 3373 4555,N,(07) 3373 4500,,1 Moolanda Street,Jindalee,4074,PO Box 321,Mount Ommaney,,4074,Metropolitan,Oxley,Mount Ommaney,Brisbane (C),Jindalee - Mount Ommaney,304011081,Major Cities of Australia,2019 July,1519,,89313963531,State,,152.940337,-27.538682
